[2026-08-18T23:39:43.256Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/index.html → 200 (4ms, 14547B)
[2026-08-18T23:39:43.266Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/style.css → 200 (1ms, 14023B)
[2026-08-18T23:39:43.266Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (328ms, 15042B)
[2026-08-18T23:39:43.266Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/cleandino_logo_512.png → 200 (1ms, 29653B)
[2026-08-18T23:39:43.266Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/filmstamp-icon.png → 200 (3ms, 82963B)
[2026-08-18T23:39:43.266Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/long-hsk-icon.png → 200 (3ms, 500955B)
[2026-08-18T23:39:43.266Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/raku-jlpt-icon.png → 200 (4ms, 466407B)
[2026-08-18T23:39:43.266Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/sae-topik-icon.png → 200 (4ms, 496760B)
[2026-08-18T23:39:43.267Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/my-urls-icon.png → 200 (3ms, 77324B)
[2026-08-18T23:39:43.267Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/rush-hour-kitchen-icon.png → 200 (3ms, 371917B)
[2026-08-18T23:39:43.267Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/age-calc-icon.png → 200 (3ms, 221431B)
[2026-08-18T23:39:43.267Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/my-home-size-icon.png → 200 (3ms, 112834B)
[2026-08-18T23:39:43.267Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/script.js → 200 (11ms, 54374B)
[2026-08-18T23:39:43.656Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → pending (?ms, ?B)
[2026-08-18T23:39:50.557Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/index.html → 200 (?ms, 14547B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/style.css → 200 (?ms, 14023B)
[2026-08-18T23:39:50.562Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (1ms, 15042B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/cleandino_logo_512.png → 200 (1ms, 29653B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/filmstamp-icon.png → 200 (1ms, 82963B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/long-hsk-icon.png → 200 (1ms, 500955B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/raku-jlpt-icon.png → 200 (1ms, 466407B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/sae-topik-icon.png → 200 (1ms, 496760B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/my-urls-icon.png → 200 (1ms, 77324B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/rush-hour-kitchen-icon.png → 200 (1ms, 371917B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/age-calc-icon.png → 200 (1ms, 221431B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/my-home-size-icon.png → 200 (2ms, 112834B)
[2026-08-18T23:39:50.562Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/script.js → 200 (6ms, 54374B)
[2026-08-18T23:39:50.571Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, 48432B)
[2026-08-18T23:39:50.772Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/long-hsk/index.html → 200 (1ms, 7890B)
[2026-08-18T23:39:50.775Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/style.css → 200 (?ms, 14023B)
[2026-08-18T23:39:50.775Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (2ms, 15042B)
[2026-08-18T23:39:50.775Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/long-hsk-icon.png → 200 (1ms, 500955B)
[2026-08-18T23:39:50.775Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/script.js → 200 (2ms, 54374B)
[2026-08-18T23:39:50.781Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, 48432B)
[2026-08-18T23:40:07.155Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/index.html → 200 (1ms, 14547B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/style.css → 200 (1ms, ?B)
[2026-08-18T23:40:07.161Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (1ms, 15042B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/cleandino_logo_512.png → 200 (1ms, ?B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/filmstamp-icon.png → 200 (1ms, ?B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/long-hsk-icon.png → 200 (1ms, ?B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/raku-jlpt-icon.png → 200 (1ms, ?B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/sae-topik-icon.png → 200 (1ms, ?B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/my-urls-icon.png → 200 (1ms, ?B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/rush-hour-kitchen-icon.png → 200 (2ms, ?B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/age-calc-icon.png → 200 (2ms, ?B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/my-home-size-icon.png → 200 (3ms, ?B)
[2026-08-18T23:40:07.161Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/script.js → pending (?ms, ?B)
[2026-08-18T23:40:07.168Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (9ms, 48432B)
[2026-08-18T23:40:35.846Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/apps/index.html → pending (?ms, ?B)
[2026-08-18T23:40:46.456Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/index.html → 200 (1ms, 14547B)
[2026-08-18T23:40:46.502Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/style.css → 200 (2ms, 14153B)
[2026-08-18T23:40:46.502Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (3ms, 15042B)
[2026-08-18T23:40:46.502Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/cleandino_logo_512.png → 200 (3ms, 29653B)
[2026-08-18T23:40:46.502Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/filmstamp-icon.png → 200 (3ms, 82963B)
[2026-08-18T23:40:46.502Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/long-hsk-icon.png → 200 (3ms, 500955B)
[2026-08-18T23:40:46.502Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/raku-jlpt-icon.png → 200 (3ms, 466407B)
[2026-08-18T23:40:46.502Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/sae-topik-icon.png → 200 (3ms, 496760B)
[2026-08-18T23:40:46.504Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/my-urls-icon.png → 200 (1ms, 77324B)
[2026-08-18T23:40:46.504Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/rush-hour-kitchen-icon.png → 200 (2ms, 371917B)
[2026-08-18T23:40:46.504Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/age-calc-icon.png → 200 (2ms, 221431B)
[2026-08-18T23:40:46.504Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/images/my-home-size-icon.png → 200 (2ms, 112834B)
[2026-08-18T23:40:46.504Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/script.js → 200 (2ms, 54374B)
[2026-08-18T23:40:46.551Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, 48432B)
[2026-08-18T23:41:05.239Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/long-hsk/delete-data/index.html → 200 (1ms, 23791B)
[2026-08-18T23:41:05.243Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/style.css → 200 (?ms, 14153B)
[2026-08-18T23:41:05.243Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (?ms, 15042B)
[2026-08-18T23:41:05.250Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, 48432B)
[2026-08-18T23:41:06.369Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/rush-hour-kitchen/index.html → 200 (?ms, 8635B)
[2026-08-18T23:41:06.372Z] GET file:///Users/devpark/KimMuGan/account_CD/cleandino.github.io/apps/style.css → 200 (?ms, 14153B)
